NO_SEQ_COLL,JR_SEMN_ACCDN,DT_ACCDN,CD_MUNCP,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,BORNE_KM_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,NB_METRE_DIST_ACCD,CD_GENRE_ACCDN,CD_SIT_PRTCE_ACCDN,CD_ETAT_SURFC,CD_ECLRM,CD_ENVRN_ACCDN,NO_ROUTE,CD_CATEG_ROUTE,CD_ETAT_CHASS,CD_ASPCT_ROUTE,CD_LOCLN_ACCDN,CD_POSI_ACCDN,CD_CONFG_ROUTE,CD_ZON_TRAVX_ROUTR,CD_PNT_CDRNL_ROUTE,CD_PNT_CDRNL_REPRR,CD_COND_METEO,NB_VEH_IMPLIQUES_ACCDN,NB_MORTS,NB_BLESSES_GRAVES,NB_BLESSES_LEGERS,HEURE_ACCDN,AN,NB_VICTIMES_TOTAL,GRAVITE,REG_ADM,MRC,nb_automobile_camion_leger,nb_camionLourd_tractRoutier,nb_outil_equipement,nb_tous_autobus_minibus,nb_bicyclette,nb_cyclomoteur,nb_motocyclette,nb_taxi,nb_urgence,nb_motoneige,nb_VHR,nb_autres_types,nb_veh_non_precise,NB_DECES_PIETON,NB_BLESSES_PIETON,NB_VICTIMES_PIETON,NB_DECES_MOTO,NB_BLESSES_MOTO,NB_VICTIMES_MOTO,NB_DECES_VELO,NB_BLESSES_VELO,NB_VICTIMES_VELO,VITESSE_AUTOR,LOC_X,LOC_Y,LOC_COTE_QD,LOC_COTE_PD,LOC_DETACHEE,LOC_IMPRECISION,LOC_LAT,LOC_LONG
SPVM _ 2015 _ 3018,LU,2015/05/04,66023.0,7905.0,,,CH DE LA COTE ST LUC,,,,40.0,,11.0,1.0,3.0,,13.0,1.0,11.0,34.0,6.0,5.0,,,,11.0,1,0,0,2,17:00:00-17:59:00,2015,2,Léger,Montréal(06),Montréal (66 ),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,292194.09423,5035561.6432,A,1,N,N,45.45987,-73.66119
SPVM _ 2017 _ 8348,ME,2017/05/31,66023.0,,,,BD RENE LEVESQUE O,1.0,DE BLEURY,,31.0,,11.0,3.0,3.0,,13.0,,11.0,33.0,,3.0,,,,11.0,2,0,0,0,22:00:00-22:59:00,2017,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,299737.864,5040596.828,A,1,N,N,45.50527,-73.56478
SPVM _ 2014 _ 20522,LU,2014/11/17,66023.0,,,,DE GRANBY,1.0,DE MARSEILLE,,31.0,,12.0,1.0,2.0,,14.0,,11.0,32.0,,2.0,,,,14.0,2,0,0,0,08:00:00-08:59:00,2014,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,301678.3,5048937.598,A,1,N,O,45.58034,-73.54
SPVM _ 2013 _ 15191,VE,2013/09/06,66072.0,2450.0,,,ATHLONE,,2450 ATHLONE,,31.0,,11.0,3.0,2.0,,14.0,,11.0,34.0,,1.0,,,,11.0,2,0,0,0,20:00:00-20:59:00,2013,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,292692.50001,5041983.0,A,1,N,N,45.51766,-73.65497
SPVM _ 2018 _ 6215,MA,2018/07/10,66023.0,,,,DE LA VERENDRYE,1.0,DE L EGLISE,50.0,31.0,,11.0,1.0,3.0,,13.0,,11.0,33.0,,3.0,,,S,11.0,2,0,0,0,12:00:00-12:59:00,2018,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,298467.521,5035947.461,A,2,N,N,45.46343,-73.58098
SPVM _ 2015 _ 19888,VE,2015/01/30,66023.0,,,,SHERBROOKE,1.0,TRIANON,,41.0,,16.0,1.0,3.0,,13.0,,11.0,32.0,,4.0,,,,12.0,1,0,0,0,11:00:00-11:59:00,2015,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,301768.1,5049995.354,A,1,N,N,45.58986,-73.53886
SPVM _ 2017 _ 20801,MA,2017/08/08,66023.0,,,,N-D,2.0,ST DONAT,10.0,31.0,,11.0,1.0,3.0,,13.0,,11.0,33.0,,2.0,,,O,11.0,2,0,0,0,07:00:00-07:59:00,2017,0,Dommages matériels inférieurs au seuil de rapportage,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,303912.714,5050543.607,A,1,N,N,45.5948,-73.51137
SPVM _ 2012 _ 28095,ME,2012/08/08,66023.0,,,,6E AV,1.0,HENRY BOURASSA E,30.0,31.0,,11.0,1.0,3.0,,19.0,,11.0,33.0,,2.0,,,N,11.0,2,0,0,0,09:00:00-09:59:00,2012,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,297481.481,5053000.317,A,1,N,N,45.61686,-73.59384
SPVM _ 2013 _ 17262,ME,2013/02/20,66023.0,,,,SAURIOL,1.0,IBERVILLE,8.0,31.0,,16.0,1.0,2.0,,14.0,,11.0,32.0,,2.0,,,O,17.0,2,0,0,0,07:00:00-07:59:00,2013,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50.0,293516.18099,5048275.982,A,1,N,N,45.5743,-73.64458
SPVM _ 2013 _ 3276,ME,2013/07/03,66023.0,,,,ROCHON,,DECARIE,10.0,75.0,,11.0,1.0,2.0,,14.0,,11.0,34.0,,2.0,,,E,12.0,1,0,0,0,06:00:00-06:59:00,2013,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,290333.0,5041785.0,A,2,N,N,45.51583,-73.68517
SPVM _ 2016 _ 3925,LU,2016/02/22,66023.0,,,,,1.0,GIROUARD ET UPPER LACHINE,,31.0,,11.0,1.0,2.0,,14.0,,11.0,32.0,,3.0,,,,11.0,2,0,0,0,16:00:00-16:59:00,2016,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,296393.4,5036734.329,A,1,N,N,45.47049,-73.60751
SPVM _ 2015 _ 9518,LU,2015/04/27,66023.0,,,,HOCHELAGA,1.0,DE VILLE MARIE,,31.0,,11.0,1.0,2.0,,14.0,,11.0,32.0,,2.0,,,,12.0,2,0,0,0,08:00:00-08:59:00,2015,0,Dommages matériels seulement,Montréal(06),Montréal (66 ),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,301521.8,5046920.56,A,1,N,N,45.56219,-73.54199
